municipality,ldp_22_vt,cdp_22_vt,komei_22_vt,jip_22_vt,jcp_22_vt,dpp_22_vt,reiwa_22_vt,sdp_22_vt,diy_22_vt,ldp_25_vt,cdp_25_vt,komei_25_vt,jip_25_vt,jcp_25_vt,dpp_25_vt,reiwa_25_vt,sdp_25_vt,diy_25_vt,mirai_25_vt,electorate_22,votes_22,electorate_25,votes_25
奥多摩町,984,242,330,183,200,115,168,53,32,704 ,12 ,262 ,90 ,161 ,163 ,137 ,75 ,181 ,50 ,4337,2516,3977 ,2281 
大島町,1283,354,444,249,466,90,150,76,90,897 ,14 ,380 ,96 ,335 ,310 ,206 ,70 ,271 ,82 ,6101,3600,5634 ,3360 
利島村,115,9,25,7,13,11,9,0,4,80 ,0 ,15 ,8 ,9 ,23 ,8 ,0 ,16 ,7 ,265,206,241 ,190 
新島村,632,113,90,69,89,35,73,22,27,374 ,5 ,82 ,62 ,63 ,132 ,66 ,12 ,128 ,19 ,2227,1243,2094 ,1162 
神津島村,420,79,144,78,31,36,44,16,24,271 ,6 ,101 ,39 ,26 ,118 ,54 ,8 ,113 ,14 ,1530,932,1425 ,894 
三宅村,493,135,121,85,90,46,45,19,22,314 ,3 ,84 ,33 ,59 ,154 ,64 ,19 ,95 ,20 ,2037,1154,1900 ,1053 
御蔵島村,63,23,10,22,18,6,22,4,0,48 ,0 ,4 ,8 ,20 ,20 ,17 ,5 ,16 ,4 ,234,180,239 ,181 
八丈町,1198,401,642,317,228,89,235,66,83,825 ,19 ,476 ,132 ,155 ,318 ,231 ,74 ,316 ,92 ,6067,3512,5734 ,3379 
青ヶ島村,32,3,11,14,8,3,13,2,1,29 ,1 ,8 ,6 ,4 ,20 ,10 ,4 ,3 ,4 ,152,103,138 ,118 
小笠原村,352,120,88,144,102,46,137,21,49,198 ,21 ,52 ,76 ,60 ,159 ,107 ,34 ,163 ,40 ,2107,1187,2082 ,1182 
